Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
T000062,2023-11-09,3179,Male,69,Beauty,3,3438,10314
T000063,2024-03-23,10055,Male,37,Fashion,10,680,6800
T000064,2023-09-20,4395,Male,34,Home,5,1119,5595
T000065,2024-03-16,1699,Male,38,Home,4,3795,15180
T000066,2024-02-02,1080,Female,37,Books,4,4317,17268
T000067,2025-03-10,1888,Male,20,Electronics,10,1312,13120
T000068,2024-08-24,9214,Male,25,Home,10,1462,14620
T000069,2024-07-25,11370,Male,34,Fashion,8,2036,16288
T000070,2025-05-12,6889,Male,42,Fashion,9,3700,33300
T000071,2023-10-06,10927,Male,69,Books,10,841,8410
T000072,2025-05-11,8179,Female,49,Groceries,2,1481,2962
T000073,2023-05-10,8086,Male,34,Groceries,9,551,4959
T000074,2025-03-29,5363,Female,61,Sports,3,2765,8295
T000075,2023-04-19,4411,Male,68,Sports,3,3655,10965
T000076,2025-05-20,8602,Male,50,Fashion,1,1255,1255
T000077,2023-08-24,6981,Male,18,Beauty,9,4965,44685
T000078,2023-09-30,10431,Female,56,Groceries,2,2726,5452
T000079,2024-09-29,1881,Male,64,Books,4,4501,18004
T000080,2023-06-14,2776,Female,60,Home,7,2857,19999
T000081,2024-05-10,6601,Female,27,Electronics,4,3517,14068
T000082,2024-06-07,10715,Male,50,Electronics,10,341,3410
T000083,2024-05-27,10432,Male,28,Home,7,4742,33194
T000084,2024-10-26,11697,Male,47,Groceries,3,3183,9549
T000085,2024-10-17,6914,Female,31,Electronics,8,780,6240
T000086,2023-05-25,10833,Male,32,Groceries,6,1730,10380
T000087,2025-07-26,8089,Male,51,Groceries,10,4916,49160
T000088,2025-02-05,3270,Male,51,Home,4,4087,16348
T000089,2025-05-09,3419,Male,23,Groceries,6,2323,13938
T000090,2024-11-08,4081,Male,30,Groceries,1,1349,1349
T000091,2025-08-06,10127,Female,54,Sports,8,3938,31504
T000092,2024-06-28,5335,Male,35,Sports,4,4605,18420
T000093,2023-03-11,10924,Female,24,Beauty,1,1047,1047
T000094,2023-09-16,5509,Female,62,Fashion,6,761,4566
T000095,2024-05-30,6192,Female,41,Home,1,2457,2457
T000096,2023-09-08,9171,Female,62,Books,10,4593,45930
T000097,2025-07-31,4987,Female,66,Groceries,2,1697,3394
T000098,2023-10-24,6603,Male,66,Groceries,8,4070,32560
T000099,2024-01-07,5531,Female,33,Home,9,1905,17145
T000100,2024-02-22,11963,Female,37,Fashion,5,382,1910
T000101,2024-06-20,8483,Female,27,Electronics,2,1311,2622
T000102,2025-01-24,10077,Male,46,Home,2,924,1848
T000103,2023-03-10,2597,Female,24,Books,3,260,780
T000104,2024-05-19,3755,Female,41,Beauty,3,3047,9141
T000105,2025-06-25,2316,Female,68,Sports,2,3676,7352
T000106,2024-03-21,7890,Male,55,Electronics,10,2945,29450
T000107,2023-07-29,11743,Male,28,Fashion,7,4662,32634
T000108,2024-08-19,3931,Male,25,Groceries,6,1453,8718
T000109,2024-08-04,5213,Female,34,Books,8,213,1704
T000110,2024-04-03,5813,Female,61,Home,4,514,2056
T000111,2024-02-20,11462,Female,37,Electronics,8,4355,34840
T000112,2025-07-07,8085,Female,18,Sports,4,4073,16292
T000113,2024-11-10,9978,Male,63,Groceries,3,3540,10620
T000114,2025-04-30,1431,Female,34,Fashion,5,2047,10235
T000115,2025-03-02,10314,Male,43,Home,10,1576,15760
T000116,2023-05-30,2921,Female,59,Fashion,7,2105,14735
T000117,2023-09-01,7023,Male,32,Sports,1,3215,3215
T000118,2025-04-10,3330,Male,67,Fashion,8,1422,11376
T000119,2025-05-24,9261,Male,34,Electronics,1,2185,2185
T000120,2023-07-17,6044,Female,35,Electronics,5,1776,8880
T000121,2023-09-04,2998,Female,24,Fashion,2,3998,7996
T000122,2023-01-07,8459,Female,29,Electronics,8,2526,20208
T000123,2024-05-27,10110,Male,34,Beauty,5,4774,23870
T000124,2023-09-17,6693,Female,25,Sports,1,2416,2416
T000125,2025-07-14,8919,Female,24,Beauty,2,360,720
T000126,2023-07-20,1450,Female,29,Fashion,5,2088,10440
T000127,2023-02-06,3822,Female,50,Electronics,7,2326,16282
T000128,2025-09-02,6658,Female,50,Sports,5,4985,24925
T000129,2024-08-31,8520,Female,65,Electronics,8,4008,32064
T000130,2023-10-09,10087,Female,24,Books,9,1150,10350
T000131,2023-12-12,3408,Female,34,Groceries,5,2183,10915
T000132,2025-01-25,7179,Female,57,Beauty,7,2781,19467
T000133,2025-02-07,11830,Female,28,Beauty,9,4002,36018
T000134,2024-10-14,7665,Female,39,Books,2,3037,6074
T000135,2023-07-16,9577,Male,45,Electronics,2,1774,3548
T000136,2025-06-09,8200,Male,55,Groceries,6,1828,10968
T000137,2023-03-05,10288,Male,26,Groceries,9,2412,21708
T000138,2025-07-22,3046,Male,37,Books,10,2009,20090
T000139,2024-04-29,6328,Male,67,Groceries,7,2444,17108
T000140,2024-05-04,5959,Female,58,Sports,1,1812,1812
T000141,2024-04-22,8636,Male,68,Home,3,4680,14040
T000142,2023-02-10,4805,Female,35,Fashion,9,1250,11250
T000143,2024-09-30,5591,Female,52,Electronics,4,2395,9580
T000144,2023-10-18,9316,Female,70,Groceries,6,959,5754
T000145,2023-01-30,7986,Male,50,Beauty,10,2655,26550
T000146,2025-05-16,4128,Female,27,Electronics,1,2532,2532
T000147,2023-01-04,1379,Male,30,Beauty,5,3297,16485
T000148,2024-10-19,6344,Female,35,Sports,4,1786,7144
T000149,2023-06-14,3707,Female,35,Books,9,4768,42912
T000150,2023-08-29,3361,Male,23,Groceries,2,3549,7098
T000151,2023-04-17,1676,Male,24,Fashion,9,4766,42894
T000152,2024-04-10,10172,Female,45,Beauty,10,1371,13710
T000153,2025-09-19,6774,Male,64,Fashion,9,878,7902
T000154,2023-02-17,9361,Male,47,Groceries,3,3085,9255
T000155,2023-07-07,10007,Male,31,Fashion,1,3329,3329
T000156,2023-04-02,5254,Male,46,Beauty,3,1419,4257
T000157,2025-07-19,4069,Male,60,Books,4,3951,15804
T000158,2024-05-02,9014,Male,27,Sports,9,4083,36747
T000159,2023-09-14,10138,Female,54,Electronics,8,556,4448
T000160,2024-01-28,10853,Female,22,Groceries,1,1220,1220
T000161,2025-06-02,5083,Male,66,Electronics,3,2597,7791
T000162,2024-05-08,11826,Male,19,Sports,3,4864,14592
T000163,2024-09-13,2383,Male,50,Home,8,4042,32336
T000164,2023-01-13,3821,Female,30,Groceries,9,700,6300
T000165,2023-11-01,8095,Female,47,Beauty,4,1161,4644
T000166,2024-03-09,9710,Male,33,Fashion,4,4378,17512
T000167,2025-03-21,6629,Female,52,Electronics,3,4028,12084
T000168,2023-05-20,3861,Female,18,Beauty,9,4370,39330
T000169,2025-04-01,6552,Female,33,Books,2,104,208
T000170,2025-06-07,2204,Male,66,Beauty,6,3779,22674
T000171,2023-06-26,7902,Female,29,Groceries,9,272,2448
T000172,2025-05-10,1089,Male,63,Beauty,7,3168,22176
T000173,2025-01-30,8742,Male,68,Groceries,4,926,3704
T000174,2025-03-04,1575,Male,31,Beauty,3,1593,4779
T000175,2024-05-30,8175,Male,42,Beauty,3,2400,7200
T000176,2023-07-24,10530,Female,32,Groceries,1,3515,3515
T000177,2024-09-08,5759,Male,24,Groceries,5,981,4905
T000178,2023-03-12,4815,Male,28,Beauty,10,2746,27460
T000179,2024-01-28,3066,Male,48,Beauty,10,3954,39540
T000180,2025-06-08,2051,Female,29,Electronics,6,3198,19188
T000181,2025-02-15,3872,Male,32,Electronics,4,858,3432
T000182,2024-08-11,7123,Female,68,Home,4,534,2136
T000183,2024-09-08,6197,Female,33,Fashion,9,970,8730
T000184,2025-05-21,6091,Female,53,Beauty,6,3100,18600
T000185,2023-11-27,3316,Female,51,Sports,4,4425,17700
T000186,2023-11-18,11179,Female,60,Electronics,8,3843,30744
T000187,2025-03-09,5850,Male,29,Sports,7,2480,17360
T000188,2025-06-14,10076,Male,53,Groceries,10,2261,22610
T000189,2025-06-18,2541,Male,51,Fashion,7,4676,32732
T000190,2025-07-15,7561,Female,38,Books,2,4844,9688
T000191,2023-09-02,4033,Male,42,Home,5,4476,22380
T000192,2024-03-19,11318,Male,38,Books,7,3622,25354
T000193,2025-02-07,7376,Male,20,Electronics,9,2209,19881
T000194,2023-08-20,10639,Male,47,Beauty,8,3599,28792
T000195,2025-07-28,10292,Male,27,Sports,10,4488,44880
T000196,2025-06-24,9550,Male,40,Home,6,2053,12318
T000197,2025-01-05,10576,Female,63,Books,9,485,4365
T000198,2025-07-08,2999,Female,51,Books,9,1781,16029
T000199,2024-01-07,10095,Female,62,Books,1,1673,1673
T000200,2025-05-05,7837,Male,59,Beauty,10,2517,25170
T000201,2024-09-14,1693,Male,57,Home,7,4059,28413
T000202,2024-07-01,2123,Male,46,Beauty,4,4162,16648
T000203,2025-02-10,6409,Female,34,Books,10,4904,49040
T000204,2023-07-03,2453,Male,42,Fashion,4,1527,6108
T000205,2025-07-05,4663,Female,57,Home,9,356,3204
T000206,2025-03-11,8831,Male,69,Fashion,9,4904,44136
T000207,2023-04-21,8271,Female,52,Sports,3,2978,8934
T000208,2024-06-08,2041,Male,62,Groceries,3,3161,9483
T000209,2023-03-09,3429,Male,52,Sports,5,1126,5630
T000210,2025-04-19,7213,Male,56,Fashion,10,2939,29390
T000211,2025-09-19,11322,Male,19,Fashion,3,1388,4164
T000212,2023-04-21,6364,Female,51,Home,2,4555,9110
T000213,2025-06-03,6497,Male,32,Beauty,2,1007,2014
T000214,2024-07-05,3035,Male,47,Beauty,5,3777,18885
T000215,2025-05-26,9607,Female,64,Beauty,3,404,1212
T000216,2023-01-07,2448,Female,58,Beauty,3,3614,10842
T000217,2023-06-29,6621,Male,27,Beauty,10,343,3430
T000218,2025-03-20,11893,Male,47,Books,9,4160,37440
T000219,2023-03-17,8504,Female,31,Electronics,9,4326,38934
T000220,2023-11-12,1659,Female,35,Electronics,10,4293,42930
T000221,2025-08-30,2421,Female,53,Groceries,9,2905,26145
T000222,2023-02-06,11596,Female,69,Fashion,5,223,1115
T000223,2024-05-07,1739,Male,31,Home,4,2853,11412
T000224,2023-06-04,10812,Male,29,Beauty,5,4602,23010
T000225,2023-03-10,7138,Female,43,Fashion,8,3861,30888
T000226,2023-10-17,6636,Female,40,Home,8,2620,20960
T000227,2025-08-26,3198,Female,40,Electronics,3,3963,11889
T000228,2023-03-24,7209,Male,42,Books,1,1787,1787
T000229,2024-02-09,4222,Female,38,Home,8,4911,39288
T000230,2024-09-10,1008,Female,41,Books,4,2885,11540
T000231,2024-09-29,5033,Male,51,Groceries,10,286,2860
T000232,2024-02-18,7042,Male,67,Books,9,2642,23778
T000233,2023-08-15,4044,Male,18,Sports,9,4187,37683
T000234,2023-12-21,3380,Male,32,Electronics,10,3377,33770
T000235,2024-09-28,6248,Female,24,Sports,9,1180,10620
T000236,2024-12-01,11316,Female,64,Electronics,5,1794,8970
T000237,2024-12-12,5093,Female,35,Books,9,4854,43686
T000238,2025-05-18,1934,Female,39,Books,1,2552,2552
T000239,2023-12-02,11246,Male,45,Home,2,979,1958
T000240,2024-05-31,6371,Male,27,Home,9,4792,43128
T000241,2023-10-25,1474,Female,22,Fashion,3,2166,6498
T000242,2024-05-24,11213,Female,39,Electronics,7,3973,27811
T000243,2024-07-02,10153,Male,53,Home,10,4967,49670
T000244,2024-08-23,10387,Female,39,Fashion,3,4520,13560
T000245,2025-07-24,5325,Male,26,Electronics,6,1341,8046
T000246,2023-09-15,8567,Male,51,Groceries,3,3637,10911
T000247,2025-09-09,8159,Female,44,Electronics,4,4457,17828
T000248,2023-09-07,5371,Female,65,Books,6,1728,10368
T000249,2025-08-10,10333,Male,55,Books,4,4969,19876
T000250,2024-07-11,11615,Male,41,Books,10,4298,42980
T000251,2025-02-09,10486,Female,62,Home,10,3303,33030
T000252,2025-09-05,9341,Female,36,Home,8,2388,19104
T000253,2023-12-16,7685,Male,35,Groceries,1,2523,2523
T000254,2023-04-29,6055,Female,29,Books,7,3994,27958
T000255,2024-01-20,6161,Male,48,Books,7,4577,32039
T000256,2024-05-07,3165,Male,41,Sports,4,1820,7280
T000257,2024-06-29,5267,Male,52,Groceries,5,1524,7620
T000258,2025-03-23,1166,Female,67,Beauty,10,1740,17400
T000259,2023-10-28,10213,Female,42,Fashion,5,2296,11480
T000260,2023-12-07,9919,Female,53,Books,2,4085,8170
T000261,2024-04-19,9047,Female,42,Groceries,2,2285,4570
T000262,2024-06-15,6738,Female,25,Books,10,3222,32220
T000263,2025-08-11,1459,Male,58,Books,4,303,1212
T000264,2024-11-20,10293,Male,37,Sports,2,3096,6192
T000265,2025-08-15,10629,Male,21,Fashion,3,2350,7050
T000266,2024-04-05,7496,Female,46,Sports,8,1834,14672
T000267,2024-08-19,3055,Male,65,Fashion,6,4923,29538
T000268,2024-08-17,4547,Female,28,Fashion,1,112,112
T000269,2025-06-20,1200,Male,46,Groceries,9,2137,19233
T000270,2024-04-11,10713,Male,33,Groceries,10,3123,31230
T000271,2023-09-04,11726,Female,33,Home,2,2513,5026
T000272,2023-10-17,3962,Female,62,Home,6,1146,6876
T000273,2023-04-17,2130,Female,61,Electronics,8,1512,12096
T000274,2024-12-30,1014,Female,18,Home,1,882,882
T000275,2023-05-08,11118,Male,48,Sports,8,744,5952
T000276,2023-10-14,9906,Female,37,Beauty,1,1672,1672
T000277,2024-05-27,9621,Female,50,Electronics,2,3258,6516
T000278,2024-01-26,6352,Male,65,Beauty,2,2147,4294
T000279,2024-11-08,11532,Male,27,Sports,7,287,2009
T000280,2024-07-06,7490,Male,28,Electronics,8,4060,32480
T000281,2023-07-24,7987,Female,43,Sports,2,4568,9136
T000282,2023-10-26,10288,Male,68,Fashion,10,3963,39630
T000283,2023-07-14,9854,Male,70,Sports,4,4386,17544
T000284,2024-12-19,9386,Female,46,Beauty,10,4199,41990
T000285,2025-01-10,6235,Female,25,Sports,10,413,4130
T000286,2024-04-18,1494,Female,26,Books,6,1355,8130
T000287,2023-07-04,1227,Female,57,Groceries,9,4187,37683
T000288,2024-06-08,7512,Female,39,Fashion,10,3964,39640
T000289,2023-08-12,11958,Female,65,Home,1,2760,2760
T000290,2024-11-11,5583,Male,37,Fashion,3,4751,14253
T000291,2024-09-09,1681,Female,63,Groceries,3,871,2613
T000292,2024-07-02,7497,Male,57,Groceries,3,1344,4032
T000293,2024-08-03,10038,Male,42,Groceries,7,3822,26754
T000294,2024-10-29,10697,Male,66,Groceries,8,1556,12448
T000295,2025-02-05,9277,Male,58,Groceries,1,144,144
T000296,2025-08-18,5093,Male,64,Groceries,2,3260,6520
T000297,2023-01-05,1599,Female,27,Fashion,4,3399,13596
T000298,2024-05-08,5999,Male,63,Fashion,5,3857,19285
T000299,2023-02-09,1720,Female,53,Electronics,8,4045,32360
T000300,2023-02-25,4181,Male,70,Groceries,9,983,8847
T000301,2023-08-01,1234,Female,69,Beauty,7,4156,29092
T000302,2025-06-11,4892,Female,26,Home,3,4990,14970
T000303,2024-10-20,2606,Female,65,Fashion,1,3896,3896
T000304,2023-09-13,10586,Female,46,Sports,6,4503,27018
T000305,2025-05-22,10686,Male,69,Sports,4,3970,15880
T000306,2024-09-29,6935,Female,47,Fashion,4,2123,8492
T000307,2023-09-08,4922,Male,33,Electronics,6,4160,24960
T000308,2025-09-03,7153,Female,55,Electronics,6,1754,10524
T000309,2024-02-21,10635,Female,56,Electronics,8,438,3504
T000310,2024-04-10,8488,Female,70,Home,2,452,904
T000311,2025-07-22,3773,Male,58,Fashion,1,1854,1854
T000312,2023-08-16,11282,Female,64,Electronics,1,645,645
T000313,2023-01-23,9063,Female,39,Home,9,533,4797
T000314,2024-12-14,11087,Male,59,Home,2,4079,8158
T000315,2025-05-31,3294,Female,34,Fashion,10,1275,12750
T000316,2024-06-19,1822,Female,67,Groceries,2,3204,6408
T000317,2023-11-02,3515,Female,25,Electronics,3,4398,13194
T000318,2024-02-29,4399,Female,32,Books,8,1547,12376
T000319,2023-07-03,8063,Male,67,Groceries,2,4220,8440
T000320,2023-02-06,5457,Male,69,Electronics,7,1489,10423
T000321,2025-07-24,11616,Female,61,Sports,8,2503,20024
T000322,2024-03-04,4658,Female,18,Electronics,6,4250,25500
T000323,2023-07-20,7769,Male,20,Groceries,2,2921,5842
T000324,2025-06-22,11053,Female,20,Sports,7,1484,10388
T000325,2023-10-30,7532,Female,29,Groceries,2,3052,6104
T000326,2024-11-06,5201,Male,18,Beauty,1,4213,4213
T000327,2025-05-23,3178,Male,66,Electronics,5,758,3790
T000328,2024-07-23,10770,Male,69,Sports,10,3726,37260
T000329,2023-12-25,6014,Male,67,Electronics,6,2444,14664
T000330,2023-08-12,10188,Male,27,Home,8,3124,24992
T000331,2024-10-17,8426,Female,29,Books,6,1393,8358
T000332,2023-05-13,1300,Female,49,Sports,3,1833,5499
T000333,2025-09-05,11723,Female,57,Home,10,2645,26450
T000334,2024-04-04,10207,Male,18,Groceries,5,2609,13045
T000335,2025-06-08,7927,Female,24,Books,1,3912,3912
T000336,2024-04-24,2566,Male,45,Electronics,4,2187,8748
T000337,2024-03-08,4367,Female,49,Fashion,7,3925,27475
T000338,2025-09-11,10264,Male,45,Home,10,4484,44840
T000339,2025-03-12,9556,Male,54,Beauty,9,237,2133
T000340,2023-08-16,10745,Female,38,Fashion,6,4853,29118
T000341,2024-05-21,7601,Male,21,Electronics,5,2406,12030
T000342,2023-08-01,1523,Male,36,Electronics,5,943,4715
T000343,2025-03-13,3021,Female,56,Beauty,10,2248,22480
T000344,2025-02-14,3329,Female,30,Sports,3,2408,7224
T000345,2025-04-18,11790,Male,54,Groceries,1,1809,1809
T000346,2023-11-04,4970,Male,55,Groceries,4,1192,4768
T000347,2023-01-28,4752,Female,26,Sports,9,973,8757
T000348,2023-04-18,6316,Male,28,Fashion,3,4056,12168
T000349,2023-05-24,11430,Female,18,Sports,1,1666,1666
T000350,2023-02-12,8968,Male,42,Fashion,1,722,722
T000351,2024-10-09,1641,Female,38,Home,10,2738,27380
T000352,2024-08-21,8408,Female,24,Books,5,2857,14285
T000353,2025-03-31,8267,Female,28,Home,1,4971,4971
T000354,2023-03-30,11713,Male,18,Groceries,9,3681,33129
T000355,2024-08-12,2888,Male,42,Beauty,6,1770,10620
T000356,2024-08-05,5582,Male,50,Fashion,3,3664,10992
T000357,2024-10-24,8398,Male,23,Sports,7,3184,22288
T000358,2023-07-05,8169,Male,22,Electronics,6,2172,13032
T000359,2025-09-04,8709,Female,42,Fashion,1,3031,3031
T000360,2025-06-21,4341,Male,59,Sports,9,1944,17496
T000361,2024-06-20,6401,Male,70,Fashion,2,2014,4028
T000362,2023-03-23,7358,Female,45,Fashion,10,281,2810
T000363,2023-03-12,2328,Male,58,Beauty,10,1966,19660
T000364,2024-05-23,8687,Male,24,Fashion,1,3126,3126
T000365,2025-02-06,2703,Male,27,Home,7,1793,12551
T000366,2023-05-01,2599,Female,34,Groceries,6,355,2130
T000367,2024-06-06,6647,Female,65,Groceries,8,1828,14624
T000368,2023-12-19,8529,Female,66,Groceries,5,468,2340
T000369,2025-01-15,4627,Male,28,Electronics,9,3653,32877
T000370,2024-11-03,3616,Female,18,Beauty,6,972,5832
T000371,2023-07-15,6908,Female,55,Groceries,7,1754,12278
T000372,2025-06-18,5513,Female,27,Fashion,3,1710,5130
T000373,2024-10-02,4382,Male,42,Beauty,4,1465,5860
T000374,2024-07-31,11585,Male,61,Groceries,1,1498,1498
T000375,2024-06-24,5916,Male,48,Beauty,3,3284,9852
T000376,2024-02-02,6912,Male,42,Sports,9,4619,41571
T000377,2023-01-15,10839,Male,38,Home,7,4433,31031
T000378,2023-05-10,9933,Male,37,Home,5,3196,15980
T000379,2025-07-28,2240,Female,25,Groceries,3,3535,10605
T000380,2024-11-04,5378,Male,18,Books,1,1923,1923
T000381,2024-07-24,7305,Female,66,Beauty,10,2934,29340
T000382,2024-09-13,6616,Female,48,Beauty,9,3284,29556
T000383,2025-03-25,8234,Male,53,Home,9,4738,42642
T000384,2025-01-22,11724,Female,19,Beauty,7,1971,13797
T000385,2023-03-22,4258,Female,26,Beauty,5,4301,21505
T000386,2025-03-06,9839,Male,69,Fashion,4,4444,17776
T000387,2024-10-02,6320,Female,70,Home,8,527,4216
T000388,2023-03-03,9244,Male,42,Home,5,3822,19110
T000389,2024-09-05,2444,Female,44,Groceries,9,1772,15948
T000390,2023-06-06,8323,Male,47,Books,10,3993,39930
T000391,2024-12-26,11689,Female,53,Books,9,3788,34092
T000392,2024-01-12,8016,Male,37,Sports,6,1213,7278
T000393,2023-09-26,5496,Male,23,Beauty,8,852,6816
T000394,2025-03-09,11601,Male,59,Books,8,1572,12576
T000395,2024-09-29,4789,Female,60,Beauty,5,2543,12715
T000396,2024-03-23,11058,Female,39,Groceries,2,782,1564
T000397,2023-12-13,5312,Male,38,Sports,8,3725,29800
T000398,2025-04-27,10288,Male,33,Fashion,9,4686,42174
T000399,2025-08-22,4260,Male,63,Beauty,1,4089,4089
T000400,2023-10-26,1518,Male,29,Groceries,3,963,2889
T000401,2023-07-02,9940,Female,67,Groceries,8,2288,18304
T000402,2025-09-03,8555,Female,69,Groceries,2,2681,5362
T000403,2024-10-26,10354,Male,45,Electronics,8,4373,34984
T000404,2023-01-01,10384,Female,51,Electronics,7,3252,22764
T000405,2025-03-28,3987,Female,66,Beauty,4,3545,14180
T000406,2023-09-25,4676,Female,47,Books,6,4192,25152
T000407,2025-05-09,4756,Female,45,Sports,8,1052,8416
T000408,2025-07-29,2534,Male,35,Sports,6,2812,16872
T000409,2024-11-26,1691,Male,35,Groceries,6,2946,17676
T000410,2024-04-22,2539,Female,52,Electronics,5,2619,13095
T000411,2024-12-31,1247,Female,24,Beauty,6,3753,22518
T000412,2024-11-16,11385,Female,56,Groceries,6,2380,14280
T000413,2023-06-06,11177,Female,19,Sports,1,3123,3123
T000414,2024-12-26,8640,Female,40,Electronics,8,4991,39928
T000415,2025-07-05,8533,Female,65,Home,9,3987,35883
T000416,2024-03-14,11997,Male,46,Sports,9,3262,29358
T000417,2024-10-12,5236,Male,58,Sports,6,211,1266
T000418,2023-08-30,11961,Male,32,Home,6,4732,28392
T000419,2023-09-25,9227,Male,49,Beauty,4,4058,16232
T000420,2023-09-29,8250,Male,41,Fashion,2,4531,9062
T000421,2024-09-11,11545,Male,42,Groceries,10,4679,46790
T000422,2024-12-09,10483,Male,55,Home,1,3418,3418
T000423,2024-10-05,9870,Male,19,Groceries,7,293,2051
T000424,2023-08-03,11891,Female,32,Fashion,5,4714,23570
T000425,2024-12-11,7054,Male,37,Home,9,4635,41715
T000426,2023-06-01,6493,Male,51,Home,7,1716,12012
T000427,2025-09-07,2427,Male,35,Books,9,2047,18423
T000428,2024-02-02,10585,Female,30,Sports,3,4320,12960
T000429,2023-11-08,4066,Male,39,Books,5,1384,6920
T000430,2025-04-24,11927,Female,39,Sports,8,2133,17064
T000431,2024-06-07,5935,Female,26,Electronics,5,4158,20790
T000432,2025-05-03,9593,Male,29,Sports,2,1367,2734
T000433,2023-06-02,10324,Male,56,Fashion,9,836,7524
T000434,2023-02-21,4488,Male,55,Home,7,1285,8995
T000435,2023-08-19,3421,Female,35,Sports,6,4963,29778
T000436,2025-03-09,11286,Male,34,Beauty,5,323,1615
T000437,2023-08-23,10417,Male,54,Beauty,1,4153,4153
T000438,2025-02-22,5739,Female,45,Fashion,10,401,4010
T000439,2023-04-15,9261,Female,18,Sports,2,2270,4540
T000440,2024-02-17,8784,Female,43,Groceries,2,4519,9038
T000441,2023-10-07,9939,Male,43,Beauty,3,2966,8898
T000442,2024-08-15,5463,Female,38,Home,9,495,4455
T000443,2024-08-02,1677,Male,51,Books,1,4909,4909
T000444,2024-10-17,4602,Male,44,Groceries,7,2274,15918
T000445,2025-09-14,8890,Female,29,Sports,10,244,2440
T000446,2024-03-19,1631,Male,40,Books,1,373,373
